apps_name,apps_url
Yatra - Flights Hotels Bus IRCTC/Trains & Ola/Uber,https://play.google.com/store/apps/details?id=com.yatra.base
"JD -Search, Shop, Travel, Food, Live TV, News",https://play.google.com/store/apps/details?id=com.justdial.search
MyTransport.SG,https://play.google.com/store/apps/details?id=sg.gov.lta.mytransportsg
Flying Jet Robot Car Transform Games,https://play.google.com/store/apps/details?id=com.grand.robot.fight.grand.airjet.robot.epic.transform.car.us.police.army.shooting.battle.games
MakeMyTrip-Flights Hotels Cabs IRCTC Rail Bookings,https://play.google.com/store/apps/details?id=com.makemytrip
Modern Taxi Drive Parking 3D Game: Taxi Games 2020,https://play.google.com/store/apps/details?id=com.doortogames.city.taxi.simulator.offroad.car.driving.games
Mechanical Excavator Robot: Flying Transforme,https://play.google.com/store/apps/details?id=com.rlg.mechanical.excavator.robot.flying.transforme
"NAVER Map, Navigation",https://play.google.com/store/apps/details?id=com.nhn.android.nmap
Rail Sheba,https://play.google.com/store/apps/details?id=com.cnsbd.railsheba
Vahan Master - All Vehicle Information & E challan,https://play.google.com/store/apps/details?id=myvehicleinformation.com
Red Ball Robot Car Transform: Flying Car Games,https://play.google.com/store/apps/details?id=com.foggy.red.ball.robot.car.transform.robotwar
Speed Robot Game – Miami Crime City Battle,https://play.google.com/store/apps/details?id=com.appstrend.speed.robot.game
Pilot Flying J,https://play.google.com/store/apps/details?id=com.pilottravelcenters.mypilot
"Cheap Flights, Hotel & Bus Booking App - ixigo",https://play.google.com/store/apps/details?id=com.ixigo
S7 Airlines: book flights,https://play.google.com/store/apps/details?id=ru.s7.android
Southwest Airlines,https://play.google.com/store/apps/details?id=com.southwestairlines.mobile
Hilton Honors: Book Hotels,https://play.google.com/store/apps/details?id=com.hilton.android.hhonors
GasBuddy: Find Cheap Fuel,https://play.google.com/store/apps/details?id=gbis.gbandroid
IndiGo-Flight Ticket Booking App,https://play.google.com/store/apps/details?id=in.goindigo.android
Airbnb,https://play.google.com/store/apps/details?id=com.airbnb.android
Pakistan Railways Official,https://play.google.com/store/apps/details?id=pk.gov.railways
Tripadvisor Hotels Flights Restaurants,https://play.google.com/store/apps/details?id=com.tripadvisor.tripadvisor
"Travelocity - Book Hotel, Flight & Travel Deals",https://play.google.com/store/apps/details?id=com.travelocity.android
"Traveloka: Book Hotel, Flight Ticket & Activities",https://play.google.com/store/apps/details?id=com.traveloka.android
Alaska Airlines - Travel,https://play.google.com/store/apps/details?id=com.alaskaairlines.android
"EaseMyTrip – Cheap Flights, Hotels, Bus & Holidays",https://play.google.com/store/apps/details?id=com.easemytrip.android
Robot Airplane Pilot Simulator - Airplane Games,https://play.google.com/store/apps/details?id=com.buntoo.pilot.robot.games
Choice Hotels,https://play.google.com/store/apps/details?id=com.choicehotels.android
United Airlines,https://play.google.com/store/apps/details?id=com.united.mobile.android
easyJet: Travel App,https://play.google.com/store/apps/details?id=com.mttnow.droid.easyjet
"PNR Status, Train Running Status & Ticket Booking",https://play.google.com/store/apps/details?id=in.trainman.trainmanandroidapp
ANA,https://play.google.com/store/apps/details?id=jp.co.ana.android.tabidachi
m-Indicator- Mumbai - Live Train Position,https://play.google.com/store/apps/details?id=com.mobond.mindicator
Foursquare Swarm: Check In,https://play.google.com/store/apps/details?id=com.foursquare.robin
"Booking.com: Hotels, Apartments & Accommodation",https://play.google.com/store/apps/details?id=com.booking
Marriott Bonvoy,https://play.google.com/store/apps/details?id=com.marriott.mrt
"Priceline - Travel Deals on Hotels, Flights & Cars",https://play.google.com/store/apps/details?id=com.priceline.android.negotiator
Tokyo Disney Resort App,https://play.google.com/store/apps/details?id=jp.tokyodisneyresort.portalapp
Pak Rail Live - Tracking app of Pakistan Railways,https://play.google.com/store/apps/details?id=com.pakraillive.PakRailLive
trivago: Compare hotel prices,https://play.google.com/store/apps/details?id=com.trivago
"Tutu.ru - flights, Russian railway and bus tickets",https://play.google.com/store/apps/details?id=ru.tutu.tutu_emp
Hotwire: Last Minute Hotel & Car,https://play.google.com/store/apps/details?id=com.hotwire.hotels
OBHAI,https://play.google.com/store/apps/details?id=com.obhai
redBus - rPool Online Bus Ticket Booking & Carpool,https://play.google.com/store/apps/details?id=in.redbus.android
Agoda,https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer
"SIXT: Car hire, Carsharing & Taxi services.",https://play.google.com/store/apps/details?id=com.sixt.reservation
Fly Delta,https://play.google.com/store/apps/details?id=com.delta.mobile.android
Air Arabia (official app),https://play.google.com/store/apps/details?id=com.winit.airarabia
IHG® - Book Rooms for Business & Holiday Travel,https://play.google.com/store/apps/details?id=com.ihg.apps.android
Hotels and Flights,https://play.google.com/store/apps/details?id=com.onetwotrip.onetwotrip
Go Airlines,https://play.google.com/store/apps/details?id=com.ezy.goair
Emirates,https://play.google.com/store/apps/details?id=com.emirates.ek.android
American Airlines,https://play.google.com/store/apps/details?id=com.aa.android
"IRCTC Ticket, Train Status, Railway App: RailYatri",https://play.google.com/store/apps/details?id=com.railyatri.in.mobile
"Hotels.com: Book hotels, flats, cottages and more",https://play.google.com/store/apps/details?id=com.hcom.android
"Goibibo Travel App - Hotel, Flights, Train and Bus",https://play.google.com/store/apps/details?id=com.goibibo
Spirit Airlines,https://play.google.com/store/apps/details?id=com.spirit.customerapp
Cebu Pacific,https://play.google.com/store/apps/details?id=com.inkglobal.cebu.android
Hopper - Book Flights,https://play.google.com/store/apps/details?id=com.hopper.mountainview.play
SpiceJet,https://play.google.com/store/apps/details?id=com.vl.spicejet
Ryanair - Cheapest Fares,https://play.google.com/store/apps/details?id=com.ryanair.cheapflights
"Skyscanner – flights, hotels and car hire",https://play.google.com/store/apps/details?id=net.skyscanner.android.main
"Expedia Flights, Hotels & Travel Deals",https://play.google.com/store/apps/details?id=com.expedia.bookings
Vrbo Holiday Rentals,https://play.google.com/store/apps/details?id=com.vrbo.android
"Trip.com: Flights, Hotels, Train & Travel Deals",https://play.google.com/store/apps/details?id=ctrip.english
FlixBus - Bus Travel in Europe,https://play.google.com/store/apps/details?id=de.flixbus.app
Bird,https://play.google.com/store/apps/details?id=co.bird.android
RingGo - pay by phone parking,https://play.google.com/store/apps/details?id=co.uk.ringgo.android
"KAYAK Flights, Hotels & Cars",https://play.google.com/store/apps/details?id=com.kayak.android
KLM – Book flights and manage your trip,https://play.google.com/store/apps/details?id=com.afklm.mobile.android.gomobile.klm
Turo - Better Than Car Rental,https://play.google.com/store/apps/details?id=com.relayrides.android.relayrides
RedDoorz – Hotel Booking App,https://play.google.com/store/apps/details?id=com.reddoorz.app
"Wego Flights, Hotels, Travel Deals Booking App",https://play.google.com/store/apps/details?id=com.wego.android
"Bykea - Bike Taxi, Delivery & Payments",https://play.google.com/store/apps/details?id=com.bykea.pk
Hurb: Hotels & Resorts for your Vacation,https://play.google.com/store/apps/details?id=br.com.hotelurbano
Lime - Your Ride Anytime,https://play.google.com/store/apps/details?id=com.limebike
ClickBus - Bus Tickets,https://play.google.com/store/apps/details?id=com.clickbus.mobile
Lufthansa,https://play.google.com/store/apps/details?id=com.lufthansa.android.lufthansa
Zoomcar - Sanitized Self-drive car rental service,https://play.google.com/store/apps/details?id=com.zoomcar
World of Hyatt,https://play.google.com/store/apps/details?id=com.Hyatt.hyt
SHARE NOW (car2go & DriveNow),https://play.google.com/store/apps/details?id=com.car2go
Turkish Airlines – Flight ticket,https://play.google.com/store/apps/details?id=com.turkishairlines.mobile
Konya City Guide,https://play.google.com/store/apps/details?id=com.ikolmobil.konya
HotelTonight - Book amazing deals at great hotels,https://play.google.com/store/apps/details?id=com.hoteltonight.android.prod
"IRCTC Train Booking, PNR Status, Running Status",https://play.google.com/store/apps/details?id=com.ixigo.train.ixitrain
DAILYHOTEL,https://play.google.com/store/apps/details?id=com.twoheart.dailyhotel
AbhiBus - Book Bus and IRCTC Train tickets online,https://play.google.com/store/apps/details?id=com.app.abhibus
HappyEasyGo - Cheap Flight & Hotel Booking App,https://play.google.com/store/apps/details?id=com.india.happyeasygo
GetUpside: Save BIG on gas and food,https://play.google.com/store/apps/details?id=com.upside.consumer.android
Air India,https://play.google.com/store/apps/details?id=com.bets.airindia.ui
Qatar Airways,https://play.google.com/store/apps/details?id=com.m.qr
Das Örtliche Telephone Book & Directory Assistance,https://play.google.com/store/apps/details?id=de.dasoertliche.android
JetBlue - Book & manage trips,https://play.google.com/store/apps/details?id=com.jetblue.JetBlueAndroid
VOI Scooters: Get Magic Wheels,https://play.google.com/store/apps/details?id=io.voiapp.voi
Cheap flights and airline tickets — Aviasales,https://play.google.com/store/apps/details?id=ru.aviasales
"KAI Access: Train Booking, Reschedule, Cancelation",https://play.google.com/store/apps/details?id=com.kai.kaiticketing
KorailTalk,https://play.google.com/store/apps/details?id=com.korail.talk
IRCTC AIR,https://play.google.com/store/apps/details?id=com.irctc.air
Yandex.Navigator,https://play.google.com/store/apps/details?id=ru.yandex.yandexnavi
clever-tanken.de,https://play.google.com/store/apps/details?id=de.mobilesoftwareag.clevertanken
